,Cars,Bluecar_counter,Utilib_counter,Utilib_1.4_counter,City,ID,Kind,Geo_point,Postal_code,Public_name,Rental_status,Slots,Station_type,Subscription_status,year,month,day,hour,minute
4622,4,4,0,0,Chaville,chaville-pavedesgardes-33,STATION,"48.80551, 2.184925",92370,Chaville/Pav̩ des Gardes/33,operational,0,station,nonexistent,2018,4,6,0,40
4623,0,0,0,0,Paris,paris-vaugirard-20,STATION,"48.8415895, 2.3183413",75015,Paris/Vaugirard/20,operational,5,station,nonexistent,2018,4,5,22,9
4624,0,0,0,0,Villejuif,villejuif-maximegorki-144,STATION,"48.7893752, 2.3685212",94800,Villejuif/Maxime Gorki/144,operational,6,station,nonexistent,2018,4,4,13,13
4625,1,1,0,0,Paris,paris-schomberg-1,STATION,"48.84925, 2.362993",75004,Paris/Schomberg/1,operational,5,station,nonexistent,2018,4,1,8,14
4626,0,0,0,0,Paris,paris-ordener-1,STATION,"48.89022, 2.359383",75018,Paris/Ordener/1,operational,2,station,nonexistent,2018,4,1,2,6
4627,0,0,0,0,Paris,paris-invalides-32,STATION,"48.85206, 2.314345",75007,Paris/Invalides/32,operational,3,station,nonexistent,2018,4,2,9,50
4628,0,0,0,0,Paris,paris-chateaudun-21,STATION,"48.875921, 2.3382898",75009,Paris/Chateaudun/21,operational,4,station,nonexistent,2018,4,1,23,42
4629,3,3,1,0,Paris,paris-faubourgsaintantoine-199,SPACE,"48.8505136, 2.3823163",75011,Paris/Saint-Antoine/199,operational,0,full_station,operational,2018,4,2,6,29
4630,3,3,0,0,Paris,paris-hopital-47,STATION,"48.84019, 2.362478",75013,Paris/H̫pital/47,operational,2,station,nonexistent,2018,4,3,10,36
4631,5,5,0,0,Issy-les-Moulineaux,issylesmoulineaux-champchardon-44,STATION,"48.821914, 2.252089",92130,Issy-les-Moulineaux/Champ Chardon/44,operational,0,station,nonexistent,2018,4,5,16,32
4632,0,0,0,0,Champigny-sur-Marne,champignysurmarne-stalingrad-214,STATION,"48.826117, 2.4956056",94500,Champigny-sur-Marne/Stalingrad/214,operational,5,station,nonexistent,2018,4,5,18,44
4633,3,3,0,0,Drancy,drancy-cheminlateral-20,STATION,"48.93327, 2.455181",93700,Drancy/Lat̩ral/20,operational,3,station,nonexistent,2018,4,2,17,20
4634,0,0,0,0,Paris,paris-caulincourt-71,STATION,"48.8895441, 2.3365418",75018,Paris/Caulaincourt/71,operational,4,station,nonexistent,2018,4,7,3,50
4635,3,3,1,0,Paris,paris-cronstadt-2,STATION,"48.83492, 2.302564",75015,Paris/Cronstadt/2,operational,0,station,nonexistent,2018,4,9,2,53
4636,0,0,0,0,Paris,paris-sainthonore-123,STATION,"48.87327, 2.309515",75008,Paris/Saint-Honor̩/123,operational,6,station,nonexistent,2018,4,8,14,8
4637,2,2,0,0,Paris,paris-voltaire-182,STATION,"48.8548, 2.385047",75011,Paris/Voltaire/182,operational,3,station,nonexistent,2018,4,2,15,10
4638,5,5,0,0,Clamart,clamart-ferrari-1,STATION,"48.7990591, 2.2625392",92140,Clamart/Ferrari/1,operational,0,station,nonexistent,2018,4,8,10,0
4639,0,0,0,0,Paris,paris-quaiauxfleurs-23,STATION,"48.8548459, 2.3505278",75004,Paris/Fleurs/23,operational,6,station,nonexistent,2018,4,2,10,9
4640,0,0,0,0,Paris,paris-danton-8,STATION,"48.85262, 2.342107",75006,Paris/Danton/8,operational,3,station,nonexistent,2018,4,5,21,3
4641,1,1,0,0,Paris,paris-saintdenis-91,STATION,"48.8740698, 2.3551424",75010,Paris/Saint-Denis/91,operational,3,station,nonexistent,2018,4,9,4,35
4642,1,1,0,1,Issy-les-Moulineaux,issylesmoulineaux-gallieni-59,STATION,"48.824941, 2.2680704",92130,Issy-les-Moulineaux/Gallieni/59,operational,2,station,nonexistent,2018,4,3,21,6
4643,6,6,0,0,Suresnes,suresnes-jeanjaures-21,STATION,"48.8636819, 2.208944",92150,Suresnes/Jean Jaur̬s/21,operational,0,station,nonexistent,2018,4,5,1,13
4644,1,1,0,0,Paris,paris-georgesmandel-42,STATION,"48.8639536, 2.2806137",75016,Paris/Georges Mandel/42,operational,3,station,nonexistent,2018,4,4,7,51
4645,2,2,0,0,Paris,paris-sibelle-29,STATION,"48.8249705, 2.3382509",75014,Paris/Sibelle/29,operational,2,station,nonexistent,2018,4,6,8,29
4646,0,0,0,0,Boulogne-Billancourt,boulognebillancourt-henrimartin-2,STATION,"48.8365078, 2.2524132",92100,Boulogne-Billancourt/Henri Martin/2,operational,6,station,nonexistent,2018,4,4,0,31
4647,0,0,0,0,Paris,paris-mathis-35,STATION,"48.8911334, 2.3725951",75019,Paris/Mathis/35,operational,4,station,nonexistent,2018,4,8,3,55
4648,0,0,0,0,Paris,paris-bretagne-51,SPACE,"48.8635527, 2.3612023",75003,Paris/Bretagne/51,operational,4,full_station,operational,2018,4,7,20,14
4649,4,4,0,0,Paris,paris-raymondpoincare-51,STATION,"48.8669712, 2.2858795",75016,Paris/Raymond Poincar̩/51,operational,0,station,nonexistent,2018,4,4,18,38
4650,3,3,0,0,Paris,paris-raymondlosserand-229,STATION,"48.828, 2.306022",75014,Paris/Raymond Losserand/229,operational,3,station,nonexistent,2018,4,7,11,5
4651,0,0,0,0,Villeneuve-la-Garenne,villeneuvelagarenne-pompidou-29,STATION,"48.9418303, 2.3235384",92390,Villeneuve-la-Garenne/Pompidou/29,operational,6,station,nonexistent,2018,4,5,5,37
4652,3,3,0,0,Nanterre,nanterre-julesquentin-33,STATION,"48.8953323, 2.1910555",92000,Nanterre/Jules Quentin/33,operational,3,station,nonexistent,2018,4,1,4,17
4653,4,4,0,0,Paris,paris-houdartdelamotte-2,STATION,"48.8406886, 2.2876391",75015,Paris/Houdart de Lamotte/2,operational,0,station,nonexistent,2018,4,4,21,47
4654,5,5,0,0,Aubervilliers,aubervilliers-forgerons-202,STATION,"48.903407, 2.368173",93300,Aubervilliers/Forgerons/202,operational,1,station,nonexistent,2018,4,7,14,12
4655,3,3,0,0,Neuilly-Plaisance,neuillyplaisance-stalingrad-1,STATION,"48.8729791, 2.5111812",93360,Neuilly-Plaisance/Stalingrad/1,operational,3,station,nonexistent,2018,4,2,2,4
4656,1,1,0,0,Paris,paris-saintroch-3,STATION,"48.8642939, 2.3314856",75001,Paris/Saint Roch/3,operational,1,station,nonexistent,2018,4,7,16,6
4657,0,0,0,0,Neuilly-sur-Seine,neuillysurseine-bineau-161,STATION,"48.8908845, 2.270197",92200,Neuilly-sur-Seine/Bineau/161,broken,0,station,nonexistent,2018,4,3,18,25
4658,1,1,0,0,Sceaux,sceaux-bagneux-52,STATION,"48.7842765, 2.3027628",92330,Sceaux/Bagneux/52,operational,4,station,nonexistent,2018,4,3,18,55
4659,0,0,0,0,Alfortville,alfortville-verdun-39,STATION,"48.79611, 2.427023",94140,Alfortville/Verdun/39,broken,0,station,nonexistent,2018,4,1,14,21
4660,0,0,0,0,Paris,paris-mahatmagandhi-6,STATION,"48.876733, 2.265867",75016,Paris/Mahatma Gandhi/6,operational,5,station,nonexistent,2018,4,3,23,2
4661,0,0,0,0,Clichy-sous-Bois,clichysousbois-11novembre1918-1,SPACE,"48.91034, 2.5465",93390,Clichy-sous-Bois/11 Novembre 1918/1,broken,0,full_station,broken,2018,4,3,1,41
